codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf
16706,,TAL-3/8N2,,,,,,995,1045,1095,1095,,False,media,True,243,True
16708,,TAL-3/8A2,"Taladro, 400 W , k|z""","Taladro, 400 W , k|z""",,,,660,730,730,730,,True,alta,True,243,True
16709,,BOR-PULA-7N,,,,,,,,,,,False,baja,True,,False
16711,,A-31-30,"Aceites multiusos Aceiteras Bote mezclador de gasolina y aceite, 1 L","Aceites multiusos Aceiteras Bote mezclador de gasolina y aceite, 1 L",,,,20,22,24,24,,True,alta,False,19,True
16712,,A-31-90,"Aceites multiusos Aceiteras Bote mezclador de gasolina y aceite, 1 L","Aceites multiusos Aceiteras Bote mezclador de gasolina y aceite, 1 L",,,,33,36,39,39,,True,alta,False,19,True
16716,,LI-CA-340R,"Linterna LED recargable , tipo minero, 430 lm, 165 g","Linterna LED recargable , tipo minero, 430 lm",,,165 g,475,525,575,575,,True,alta,False,203,True
16736,,ROTO-3/8A4,,"Rotomartillo 600 W , k|z""",,,,605,605,635,635,,False,baja,True,237,True
16737,,CB-ROTO-3/8A4,,,,,,,,,,,False,baja,True,,False
16739,,CB-PULA-7A3,,,,,,,,,,,False,baja,True,,False
16746,,ESC-213,,,,,,,,,,,False,baja,True,,False
16747,,ESC-215,,,,,,,,,,,False,baja,True,,False
16748,,ESE-28,,,,,,,,,,,False,baja,True,,False
16757,,ESE-224FV,,,,,,,,,,,False,baja,True,,False
16758,,ESE-220,,,,,,,,,,,False,baja,True,,False
16759,,ESE-224,,,,,,,,,,,False,baja,True,,False
16762,,ROEL-20N,"Rotomartillo SDS Plus, 2 Joules","Rotomartillo SDS Plus, 2 Joules",,,Rotomartillo,2250,2350,2465,2465,,True,alta,False,241,True
16763,,ESTU-2A,,,,,,,,,,,False,baja,True,,False
16764,,ESTU-3A,,,,,,,,,,,False,baja,True,,False
16765,,ESTU-4A,,,,,,,,,,,False,baja,True,,False
16777,,LIXR-2AA,"Linterna LED recargable, de aluminio, 500 lm, TRUPER EXPERT","Linternas LED de aluminio, recargables",TRUPER EXPERT,Linternas LED de aluminio y plásticas,180 m 17 × 3 cm 180 g,335,365,400,400,,True,alta,True,201,True
16778,,LIXR-2D,"Linterna LED recargable, de aluminio,1,300 lm, TRUPER EXPERT","Linternas LED de aluminio, recargables",TRUPER EXPERT,Linternas LED de aluminio y plásticas,280 m 20 × 4 cm 310 g,515,565,625,625,,True,alta,True,201,True
16779,,LIXR-3D,"Linterna LED recargable, de aluminio,2,000 lm, TRUPER EXPERT","Linternas LED de aluminio, recargables",TRUPER EXPERT,Linternas LED de aluminio y plásticas,300 m 24 × 4 cm 430 g,695,765,845,845,,True,alta,True,201,True
16780,,CAZ-50,"de azulejo, \Y (50 cm) 6.8 kg 3",de azulejo,,,\Y (50 cm) 6.8 kg 3,1165,1280,1415,1415,,True,alta,False,113,True
16781,,CAZ-60,"de azulejo, \^ (60 cm) 8 kg 3",de azulejo,,,\^ (60 cm) 8 kg 3,1250,1375,1515,1515,,True,alta,False,113,True
16783,,CAZ-66B,"Cortadores de azulejo con baleros, \` (66 cm) 10 kg",Cortadores de azulejo con baleros,,,\` (66 cm) 10 kg,1625,1775,1950,1950,,True,alta,False,112,True
16791,,CAU-150X,"tipo lápiz, punta angulada rudo , 150 W","tipo lápiz, punta angulada rudo , 150 W",,,,695,765,845,845,,True,alta,False,362,True
16792,,CAU-300X,"tipo lápiz, punta angulada , Cautín rudo , 300 W uso, 2","tipo lápiz, punta angulada , Cautín rudo , 300 W uso",,,2,1025,1125,1240,1240,,True,alta,False,362,True
16793,,REP-CAU-150X,"tipo lápiz, punta angulada rudo , 150 W","tipo lápiz, punta angulada rudo , 150 W",,,Punta,245,270,295,295,,True,alta,False,362,True
16794,,REP-CAU-300X,"tipo lápiz, punta angulada , Cautín rudo , 300 W uso, Punta \","tipo lápiz, punta angulada , Cautín rudo , 300 W uso",,,Punta \,495,545,595,595,,True,alta,False,362,True
16795,,CAU-100D,"tipo pistola, uso ligero , 40 W Cautín tipo lápiz, 2 temperaturas uso rudo , 100 W","tipo pistola, uso ligero , 40 W Cautín tipo lápiz, 2 temperaturas uso rudo , 100 W",,,,42,51,51,51,,True,alta,False,362,True
