codigo_truper,codigo_barras,clave,descripcion,descripcion_familia,marca,categoria,presentacion,precio_catalogo_mayoreo,precio_catalogo_medio_mayoreo,precio_catalogo_publico,precio_venta,existencia,datos_completos,confianza_extraccion,requiere_revision,pagina_catalogo,encontrado_en_pdf,motivo_revision
46315,,AL-AA,"Blíster con 4 pilas alcalinas AA, VOLTECK","Pilas AAA y AA, alcalinas",VOLTECK,Pilas,AA,38,42,46,46,,True,alta,True,413,True,discrepancia_descripcion
46316,,AL-AAA,"Blíster con 4 pilas alcalinas AAA, VOLTECK","Pilas AAA y AA, alcalinas",VOLTECK,Pilas,AAA,38,42,46,46,,True,alta,True,413,True,discrepancia_descripcion
46317,,AL-C,"Blíster con 2 pilas alcalinas C, VOLTECK","Pilas C y D, alcalinas",VOLTECK,Pilas,,49,54,59,59,,True,alta,True,413,True,discrepancia_descripcion
46318,,AL-D,"Blíster con 2 pilas alcalinas D, VOLTECK","Pilas C y D, alcalinas",VOLTECK,Pilas,,55,60,66,66,,True,alta,True,413,True,discrepancia_descripcion
46319,,AL-9V,"Blíster con 1 pila alcalina 9V, VOLTECK","Pila 9 V, alcalina",VOLTECK,Pilas,,45,50,55,55,,True,alta,True,413,True,discrepancia_descripcion
46320,,CCH-2X4,"Caja tipo chalupa 2 x 4"" metálica reforzada, VOLTECK",,VOLTECK,"Chalupas, cajas de registro y botes integrales",,,,,,,True,baja,True,,False,no_encontrado_en_pdf
46321,,CCH-4X4C,"Caja de registro cuadrada 4"" metálica reforzada, VOLTECK",,VOLTECK,"Chalupas, cajas de registro y botes integrales",,,,,,,True,baja,True,,False,no_encontrado_en_pdf
46322,,CCH-4X4O,"Caja de registro octagonal 4"" metálica reforzada, VOLTECK",,VOLTECK,"Chalupas, cajas de registro y botes integrales",,,,,,,True,baja,True,,False,no_encontrado_en_pdf
46326,,CIVE-10N,,,,,,195,215,235,235,,False,media,True,399,True,descripcion_ambigua;extraccion_ambigua
46330,,TACH-4X4C,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46331,,TACH-4x4O,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46337,,APDO-CLP,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46338,,PA-APDO-CL,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46339,,PA-APTR-CLP,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46354,,RIA-84,,,,,2 24,360,435,435,435,,False,media,True,478,True,descripcion_ambigua;extraccion_ambigua
46355,,RIA-84N,,,,,2 24,335,400,400,400,,False,media,True,478,True,descripcion_ambigua;extraccion_ambigua
46356,,RIA-85,,,,,2 24,525,635,635,635,,False,media,True,478,True,descripcion_ambigua;extraccion_ambigua
46357,,RIA-85N,,,,,2 24,515,625,625,625,,False,media,True,478,True,descripcion_ambigua;extraccion_ambigua
46358,,PEPU-31,,,,,atAn 0rillante,33,36,39,39,,False,media,True,581,True,descripcion_ambigua;extraccion_ambigua
46364,,GUPO-102,"Guardapolvo con funda 95 cm, negro, HERMEX",Guardapolvos con funda Cintas guardapolvo transparentes,HERMEX,Cerrajería / Guardapolvos,,77,85,95,95,,True,alta,True,581,True,discrepancia_descripcion
46366,,PEPU-33,,,,,ro=o =ate,33,36,39,39,,False,media,True,581,True,descripcion_ambigua;extraccion_ambigua
46367,,PEPU-34,,,,,9Cuel satinado,33,36,39,39,,False,media,True,581,True,descripcion_ambigua;extraccion_ambigua
46391,,POPO-9,,B@Dc3<.>. B.D. #16 »,,,[\Y » \\Y ) 14 cm,14,15.50,17,17,,False,media,True,415,True,descripcion_ambigua;extraccion_ambigua
46405,,PEPU-32,,,,,atAn anti6uo,33,36,39,39,,False,media,True,581,True,descripcion_ambigua;extraccion_ambigua
46418,,PPSE-CL,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46419,,PPDO-CL,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46420,,PPTR-CL,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46430,,PAFDO-S,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46431,,PAFSE-S,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46432,,PAFCI-S,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46444,,APAL-2C,"Interruptor de palanca con cable, 1 polo, on-off, VOLTECK","Interruptor de palanca con cable , 1 polo , onoff",VOLTECK,"Extractores de aire <span class=""Torange""> |</span> Interruptores de palanca y tipo botonera",750 W 1,27,30,33,33,,True,alta,True,406,True,discrepancia_descripcion
46455,,PA-APCO-IB,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46456,,PA-APCO-I2B,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46457,,PA-APCO-I3B,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46458,,PA-COTR-IB,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46459,,PA-APSE-IB,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46460,,PA-APSE-EIB,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46461,,PA-APDO-IB,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
46462,,PA-APDO-EIB,,,,,,,,,,,False,baja,True,,False,no_encontrado_en_pdf
