codigo_truper,clave,descripcion,descripcion_familia,presentacion,marca,precio_catalogo_publico,pagina_catalogo,confianza_extraccion,requiere_revision,elegible_para_maestro
19271,CHISP,"Encendedor de cazuela, × Encendedor",Encendedor de cazuela,× Encendedor,,130,360,alta,False,True
19272,R-CHISP,"Encendedor de cazuela, 5 Piedras",Encendedor de cazuela,5 Piedras,,118,360,alta,False,True
19341,D-3428-HL,Dados largos de 6 puntas,Dados largos de 6 puntas,,,475,126,alta,False,True
19342,D-3430-HL,Dados largos de 6 puntas,Dados largos de 6 puntas,,,475,126,alta,False,True
19343,D-3432-HL,Dados largos de 6 puntas,Dados largos de 6 puntas,,,475,126,alta,False,True
19344,D-3434-HL,Dados largos de 6 puntas,Dados largos de 6 puntas,,,475,126,alta,False,True
19345,D-3436-HL,Dados largos de 6 puntas,Dados largos de 6 puntas,,,505,126,alta,False,True
19346,D-3444-HL,Dados largos de 6 puntas,Dados largos de 6 puntas,,,575,126,alta,False,True
19392,PAD-7,"pads Pad rematador 5"" Cepillo de ixtle para impermeabilizar, 7 (18 cm)","pads Pad rematador 5"" Cepillo de ixtle para impermeabilizar",7 (18 cm),,152,297,alta,False,True
19393,PAD-9,"pads Pad rematador 5"" Cepillo de ixtle para impermeabilizar, 9 (23 cm)","pads Pad rematador 5"" Cepillo de ixtle para impermeabilizar",9 (23 cm),,165,297,alta,False,True
19394,PAD-5R,"Pad rematador 5""","Pad rematador 5""",,,84,297,alta,False,True
19398,REP-PAD-7,"pads Pad rematador 5"" Cepillo de ixtle para impermeabilizar, 7 (18 cm)","pads Pad rematador 5"" Cepillo de ixtle para impermeabilizar",7 (18 cm),,66,297,alta,False,True
19399,REP-PAD-9,"pads Pad rematador 5"" Cepillo de ixtle para impermeabilizar, 9 (23 cm)","pads Pad rematador 5"" Cepillo de ixtle para impermeabilizar",9 (23 cm),,84,297,alta,False,True
1950,m,Ancho 19 mm,Ancho 19 mm,,,32,94,baja,True,False
19510,Clave,"Accesorios para PIPI-27 y PIPI-26, CajaMáster May. i|tMay. Púb.",Accesorios para PIPI-27 y PIPI-26,CajaMáster May. i|tMay. Púb.,,,111,baja,True,False
19511,AC-PIPI-200,Accesorios para PIPI-27 y PIPI-26,Accesorios para PIPI-27 y PIPI-26,,,55,111,alta,False,True
19679,LTP-6M,"Limas mango de polipropileno, ` (15 cm) o⁄sx"" 12",Limas mango de polipropileno,"` (15 cm) o⁄sx"" 12",,35,198,alta,False,True
19680,LTP-7M,"Limas mango de polipropileno, a (18 cm) 1o⁄u2"" 6",Limas mango de polipropileno,"a (18 cm) 1o⁄u2"" 6",,53,198,alta,False,True
19681,LTP-8M,"Limas mango de polipropileno, b (20 cm) 1o⁄u2"" 6",Limas mango de polipropileno,"b (20 cm) 1o⁄u2"" 6",,60,198,alta,False,True
19682,MB-4,"Martillos pulidos Truper Grip, de bola, 4 oz 13⁄sx"" [Y (25 cm) 48","Martillos pulidos Truper Grip, de bola","4 oz 13⁄sx"" [Y (25 cm) 48",TRUPER,203,281,alta,False,True
