codigo,codigo_barras,clave,descripcion,marca,categoria
43473,,CEPO-11R,"Cerradura tipo esfera para recámara, latón brillante, HERMEX",HERMEX,Cerraduras de pomo
43318,,CHB-38,"Candado de hierro 38 mm, gancho corto en blíster, HERMEX",HERMEX,Candados de hierro
43319,,CHB-45,"Candado de hierro 45 mm, gancho corto en blíster, HERMEX",HERMEX,Candados de hierro
43037,,GUPO-120N,"Guardapolvo fijo de 120 cm, negro, HERMEX",HERMEX,Cerrajería / Guardapolvos
43034,,GUPO-120A,"Guardapolvo fijo de 120 cm, aluminio, HERMEX",HERMEX,Cerrajería / Guardapolvos
43320,,CHB-50,"Candado de hierro 50 mm, gancho corto en blíster, HERMEX",HERMEX,Candados de hierro
43198,,BR-401,"Bisagra rectangular 4 x 2-3/4"", acero latonado, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
20507,,CM-40X4P,"Juego de 4 candados cuerpo laminado, 40 mm, HERMEX BASIC",HERMEX BASIC,Candados de acero
43794,,CHB-32L,"Candado de hierro 32 mm, gancho largo en blíster, HERMEX",HERMEX,Candados de hierro
43791,,CH-32,"Candado de hierro 32 mm, gancho corto en caja, HERMEX",HERMEX,Candados de hierro
43601,,CERO-31,"Cerrojo llave-mariposa cromo mate, llave puntos, HERMEX",HERMEX,Cerraduras / Cerrojos y juegos de pomo y cerrojo
43665,,DUP-200,"Duplicadora de llaves, 6 tipos, HERMEX",HERMEX,"Cajas de seguridad, para dinero y para llaves <span class=""Torange"">|</span> Duplicadoras"
43596,,CERO-21,"Cerrojo llave-mariposa latón antiguo, llave puntos, HERMEX",HERMEX,Cerraduras / Cerrojos y juegos de pomo y cerrojo
43193,,BR-151,"Bisagra rectangular 1-1/2 x 1-3/16"", acero latonado, HERMEX",HERMEX,Bisagras rectangulares en caja y pares de bisagras en bolsa
43642,,FIPU-3,"Fijapuerta metálico, acabado cromo, HERMEX",HERMEX,Cerrajería (accesorios)
43455,,CEPO-22R,"Cerradura tipo oval para recámara, latón antiguo, HERMEX",HERMEX,Cerraduras de pomo
23517,,CL-40LP,"Candado de latón 40 mm gancho largo en blíster, HERMEX BASIC",HERMEX BASIC,Candados de latón
43439,,CL-50L,"Candado de latón 50 mm gancho largo en blíster, HERMEX",HERMEX,Candados de latón
43203,,BR-304,"Bisagra rectangular 3 x 2"", acero inoxidable, HERMEX",HERMEX,Bisagras cuadradas y rectangulares en caja
43802,,CH-63L,"Candado de hierro 63 mm, gancho largo en caja, HERMEX",HERMEX,Candados de hierro
43462,,CEPO-31B,"Cerradura tipo esfera para baño, cromo mate, HERMEX",HERMEX,Cerraduras de pomo
43782,,TOMA-3,"Tope para puerta magnético, acabado cromo, HERMEX",HERMEX,Cerrajería (accesorios)
