codigo_truper,codigo_barras,clave,descripcion,marca,categoria,precio_venta,existencia,datos_completos
45008,,CCH-3X3E,"Caja de registro cuadrada 3"" metálica, VOLTECK BASIC",VOLTECK,"Chalupas, cajas de registro y botes integrales",,,True
45009,,TACH-4X4,,,,,,False
45010,,TACH-3X3,,,,,,False
45011,,MGA-20,,,,,,False
45012,,MGA-30,,,,,,False
45013,,MGA-40,,,,,,False
45014,,MGA-50,,,,,,False
45015,,MGA-500,,,,,,False
45016,,PF-1/2G,,,,,,False
45017,,PF-3/4G,,,,,,False
45018,,PF-1/2,,,,,,False
45019,,PF-3/4,,,,,,False
45021,,CLE-2B,,,,,,False
45022,,CLE-2-1/2B,,,,,,False
45023,,CLE-3B,,,,,,False
45024,,CLE-3-1/2B,,,,,,False
45025,,CLE-4B,,,,,,False
45026,,CLE-5B,,,,,,False
45028,,CABCO-59300,,,,,,False
45029,,CABCO-59500,,,,,,False
45030,,CABCO-6300,,,,,,False
45031,,RAF-290C,,,,,,False
45032,,RAF-250,,,,,,False
45033,,RAF-250C,,,,,,False
45034,,CABCO-6500,,,,,,False
45035,,RD-102,,,,,,False
45037,,RAF-245,,,,,,False
45038,,RAF-445,,,,,,False
45041,,CAN-1720A,,,,,,False
45042,,CPVC-001,,,,,,False
45043,,CPVC-002,,,,,,False
45044,,CPVC-003,,,,,,False
45047,,CPVC-ES-1/2,"Válvula de esfera de CPVC de 1/2"", FOSET",FOSET HIDROFLOW,Válvulas y kits de CPVC para regadera,,,True
45048,,CPVC-ES-3/4,"Válvula de esfera de CPVC de 3/4"", FOSET",FOSET HIDROFLOW,Válvulas y kits de CPVC para regadera,,,True
45054,,PURA-P3,,,,,,False
45055,,CPVC-971,,,,,,False
45056,,CPVC-972,"Tuerca unión lisa de CPVC 3/4"", FOSET",FOSET HIDROFLOW,Conexiones de CPVC,,,True
45057,,CPVC-973,,,,,,False
45058,,R-502,,,,,,False
45059,,R-502S,,,,,,False
45060,,TA-1202TI,,,,,,False
45061,,TA-1202TD,,,,,,False
45062,,CPVC-231,,,,,,False
45063,,CPVC-232,,,,,,False
45064,,CPVC-233,,,,,,False
45069,,CPVC-761,,,,,,False
45070,,CPVC-762,"Tee sencilla de CPVC de 3/4"", FOSET",FOSET HIDROFLOW,Tubos y conexiones de CPVC,,,True
45071,,CPVC-763,,,,,,False
45072,,CPVC-722,,,,,,False
45073,,CPVC-723,,,,,,False
45074,,CPVC-725,,,,,,False
45081,,CPVC-581,,,,,,False
45082,,CPVC-561,"Codo 90° de CPVC de 1/2"", FOSET",FOSET HIDROFLOW,Tubos y conexiones de CPVC,,,True
45083,,CPVC-562,"Codo 90° de CPVC de 3/4"", FOSET",FOSET HIDROFLOW,Tubos y conexiones de CPVC,,,True
45084,,CPVC-563,,,,,,False
45085,,CPVC-521,,,,,,False
45086,,CPVC-861,,,,,,False
45087,,CPVC-862,,,,,,False
45088,,CPVC-863,,,,,,False
45090,,AR-02,,,,,,False
45091,,AR-02N,,,,,,False
45092,,ARB-105S,,,,,,False
45093,,ARB-107S,,,,,,False
45094,,COL-103S,,,,,,False
45095,,AR-07,,,,,,False
45096,,AR-08,,,,,,False
45097,,AR-08N,,,,,,False
45098,,CPVC-611,,,,,,False
45099,,CPVC-612,,,,,,False
45100,,CPVC-613,,,,,,False
45101,,CPVC-601,"Conector hembra de CPVC 1/2"", FOSET",FOSET HIDROFLOW,Tubos y conexiones de CPVC,,,True
45102,,CPVC-602,,,,,,False
45103,,CPVC-603,,,,,,False
45104,,CPVC-651,,,,,,False
45105,,CPVC-652,,,,,,False
45106,,CPVC-653,,,,,,False
45107,,CPVC-641,,,,,,False
45108,,CPVC-642,,,,,,False
